time,temperature_2m,relative_humidity_2m,precipitation_probability,windspeed_10m,weathercode,city,date,hour
2026-07-13 00:00:00,30.5,72.0,12.0,11.3,51,Delhi,2026-07-13,0
2026-07-13 01:00:00,30.5,64.0,6.0,13.7,0,Delhi,2026-07-13,1
2026-07-13 02:00:00,29.6,67.0,2.0,9.8,0,Delhi,2026-07-13,2
2026-07-13 03:00:00,28.9,70.0,1.0,7.7,0,Delhi,2026-07-13,3
2026-07-13 04:00:00,28.4,72.0,0.0,7.9,1,Delhi,2026-07-13,4
2026-07-13 05:00:00,28.1,74.0,0.0,7.9,0,Delhi,2026-07-13,5
2026-07-13 06:00:00,28.4,74.0,0.0,7.8,0,Delhi,2026-07-13,6
2026-07-13 07:00:00,29.5,73.0,0.0,6.8,0,Delhi,2026-07-13,7
2026-07-13 08:00:00,30.8,68.0,0.0,6.7,0,Delhi,2026-07-13,8
2026-07-13 09:00:00,32.1,63.0,0.0,7.9,0,Delhi,2026-07-13,9
2026-07-13 10:00:00,33.2,59.0,0.0,8.6,0,Delhi,2026-07-13,10
2026-07-13 11:00:00,34.2,56.0,0.0,7.9,0,Delhi,2026-07-13,11
2026-07-13 12:00:00,34.9,54.0,3.0,7.2,0,Delhi,2026-07-13,12
2026-07-13 13:00:00,35.2,53.0,8.0,7.2,0,Delhi,2026-07-13,13
2026-07-13 14:00:00,35.7,51.0,10.0,7.0,1,Delhi,2026-07-13,14
2026-07-13 15:00:00,35.7,50.0,8.0,7.6,0,Delhi,2026-07-13,15
2026-07-13 16:00:00,35.5,51.0,5.0,8.2,0,Delhi,2026-07-13,16
2026-07-13 17:00:00,34.9,55.0,2.0,6.7,1,Delhi,2026-07-13,17
2026-07-13 18:00:00,33.9,64.0,1.0,4.0,1,Delhi,2026-07-13,18
2026-07-13 19:00:00,32.9,68.0,0.0,4.0,1,Delhi,2026-07-13,19
2026-07-13 20:00:00,31.9,71.0,0.0,6.2,2,Delhi,2026-07-13,20
2026-07-13 21:00:00,31.5,67.0,0.0,8.4,3,Delhi,2026-07-13,21
2026-07-13 22:00:00,29.4,75.0,0.0,5.3,51,Delhi,2026-07-13,22
2026-07-13 23:00:00,28.9,79.0,2.0,4.1,51,Delhi,2026-07-13,23
2026-07-14 00:00:00,28.8,81.0,6.0,5.1,1,Delhi,2026-07-14,0
2026-07-14 01:00:00,28.8,81.0,10.0,7.6,1,Delhi,2026-07-14,1
2026-07-14 02:00:00,28.8,80.0,14.0,6.2,0,Delhi,2026-07-14,2
2026-07-14 03:00:00,28.7,78.0,16.0,5.5,0,Delhi,2026-07-14,3
2026-07-14 04:00:00,28.6,77.0,17.0,6.0,0,Delhi,2026-07-14,4
2026-07-14 05:00:00,28.3,80.0,16.0,3.3,0,Delhi,2026-07-14,5
2026-07-14 06:00:00,28.6,79.0,12.0,3.6,0,Delhi,2026-07-14,6
2026-07-14 07:00:00,29.6,76.0,6.0,0.8,0,Delhi,2026-07-14,7
2026-07-14 08:00:00,31.0,70.0,2.0,0.8,0,Delhi,2026-07-14,8
2026-07-14 09:00:00,32.4,63.0,0.0,5.2,0,Delhi,2026-07-14,9
2026-07-14 10:00:00,33.6,58.0,0.0,8.6,0,Delhi,2026-07-14,10
2026-07-14 11:00:00,34.5,55.0,0.0,10.4,0,Delhi,2026-07-14,11
2026-07-14 12:00:00,35.0,54.0,0.0,10.6,0,Delhi,2026-07-14,12
2026-07-14 13:00:00,35.5,53.0,0.0,9.3,51,Delhi,2026-07-14,13
2026-07-14 14:00:00,35.9,52.0,2.0,8.3,0,Delhi,2026-07-14,14
2026-07-14 15:00:00,36.0,51.0,12.0,9.2,0,Delhi,2026-07-14,15
2026-07-14 16:00:00,35.8,52.0,26.0,8.8,1,Delhi,2026-07-14,16
2026-07-14 17:00:00,32.6,66.0,35.0,7.5,53,Delhi,2026-07-14,17
2026-07-14 18:00:00,32.4,68.0,35.0,7.5,51,Delhi,2026-07-14,18
2026-07-14 19:00:00,31.2,72.0,30.0,7.4,0,Delhi,2026-07-14,19
2026-07-14 20:00:00,30.2,72.0,25.0,9.6,0,Delhi,2026-07-14,20
2026-07-14 21:00:00,29.5,73.0,23.0,10.1,1,Delhi,2026-07-14,21
2026-07-14 22:00:00,28.8,76.0,21.0,9.8,0,Delhi,2026-07-14,22
2026-07-14 23:00:00,28.5,78.0,18.0,7.7,0,Delhi,2026-07-14,23
2026-07-15 00:00:00,28.1,79.0,14.0,7.8,1,Delhi,2026-07-15,0
2026-07-15 01:00:00,27.9,78.0,9.0,8.0,1,Delhi,2026-07-15,1
2026-07-15 02:00:00,27.7,78.0,6.0,6.9,1,Delhi,2026-07-15,2
2026-07-15 03:00:00,27.7,78.0,7.0,6.0,0,Delhi,2026-07-15,3
2026-07-15 04:00:00,27.6,79.0,9.0,6.2,0,Delhi,2026-07-15,4
2026-07-15 05:00:00,27.6,78.0,10.0,6.7,0,Delhi,2026-07-15,5
2026-07-15 06:00:00,28.0,75.0,7.0,7.7,1,Delhi,2026-07-15,6
2026-07-15 07:00:00,29.0,72.0,3.0,9.2,1,Delhi,2026-07-15,7
2026-07-15 08:00:00,29.9,67.0,0.0,14.2,51,Delhi,2026-07-15,8
2026-07-15 09:00:00,30.8,63.0,0.0,12.1,0,Delhi,2026-07-15,9
2026-07-15 10:00:00,32.2,59.0,1.0,10.0,0,Delhi,2026-07-15,10
2026-07-15 11:00:00,33.3,57.0,2.0,8.8,0,Delhi,2026-07-15,11
2026-07-15 12:00:00,34.2,55.0,1.0,8.7,0,Delhi,2026-07-15,12
2026-07-15 13:00:00,34.9,53.0,1.0,8.9,0,Delhi,2026-07-15,13
2026-07-15 14:00:00,35.5,51.0,0.0,9.7,0,Delhi,2026-07-15,14
2026-07-15 15:00:00,35.7,49.0,0.0,10.2,0,Delhi,2026-07-15,15
2026-07-15 16:00:00,35.6,49.0,1.0,10.9,0,Delhi,2026-07-15,16
2026-07-15 17:00:00,35.3,51.0,2.0,10.2,0,Delhi,2026-07-15,17
2026-07-15 18:00:00,34.3,58.0,3.0,5.3,0,Delhi,2026-07-15,18
2026-07-15 19:00:00,33.2,64.0,4.0,4.4,0,Delhi,2026-07-15,19
2026-07-15 20:00:00,32.4,67.0,6.0,5.0,1,Delhi,2026-07-15,20
2026-07-15 21:00:00,31.8,69.0,10.0,4.7,0,Delhi,2026-07-15,21
2026-07-15 22:00:00,31.2,69.0,15.0,6.8,0,Delhi,2026-07-15,22
2026-07-15 23:00:00,30.7,69.0,18.0,8.1,3,Delhi,2026-07-15,23
2026-07-16 00:00:00,30.5,69.0,19.0,8.1,2,Delhi,2026-07-16,0
2026-07-16 01:00:00,29.7,72.0,17.0,6.6,51,Delhi,2026-07-16,1
2026-07-16 02:00:00,29.5,73.0,16.0,7.1,0,Delhi,2026-07-16,2
2026-07-16 03:00:00,29.3,73.0,14.0,6.5,0,Delhi,2026-07-16,3
2026-07-16 04:00:00,28.8,73.0,12.0,8.1,0,Delhi,2026-07-16,4
2026-07-16 05:00:00,28.6,72.0,10.0,7.1,0,Delhi,2026-07-16,5
2026-07-16 06:00:00,28.8,70.0,7.0,7.6,0,Delhi,2026-07-16,6
2026-07-16 07:00:00,30.0,66.0,4.0,7.4,0,Delhi,2026-07-16,7
2026-07-16 08:00:00,31.3,59.0,2.0,10.1,0,Delhi,2026-07-16,8
2026-07-16 09:00:00,32.6,55.0,1.0,11.7,0,Delhi,2026-07-16,9
2026-07-16 10:00:00,33.9,51.0,1.0,12.3,0,Delhi,2026-07-16,10
2026-07-16 11:00:00,35.1,48.0,2.0,11.8,0,Delhi,2026-07-16,11
2026-07-16 12:00:00,36.0,46.0,6.0,12.1,0,Delhi,2026-07-16,12
2026-07-16 13:00:00,36.5,44.0,12.0,12.0,1,Delhi,2026-07-16,13
2026-07-16 14:00:00,36.7,44.0,18.0,12.0,51,Delhi,2026-07-16,14
2026-07-16 15:00:00,36.9,43.0,23.0,12.9,2,Delhi,2026-07-16,15
2026-07-16 16:00:00,36.9,42.0,28.0,13.6,2,Delhi,2026-07-16,16
2026-07-16 17:00:00,36.3,44.0,29.0,12.5,2,Delhi,2026-07-16,17
2026-07-16 18:00:00,35.5,47.0,24.0,11.2,2,Delhi,2026-07-16,18
2026-07-16 19:00:00,34.4,51.0,16.0,9.6,1,Delhi,2026-07-16,19
2026-07-16 20:00:00,33.4,56.0,10.0,8.7,1,Delhi,2026-07-16,20
2026-07-16 21:00:00,32.5,60.0,8.0,7.4,2,Delhi,2026-07-16,21
2026-07-16 22:00:00,31.8,64.0,8.0,5.9,3,Delhi,2026-07-16,22
2026-07-16 23:00:00,31.2,67.0,8.0,5.0,3,Delhi,2026-07-16,23
2026-07-17 00:00:00,30.8,67.0,7.0,5.2,3,Delhi,2026-07-17,0
2026-07-17 01:00:00,30.5,65.0,5.0,6.5,3,Delhi,2026-07-17,1
2026-07-17 02:00:00,30.2,64.0,4.0,7.6,2,Delhi,2026-07-17,2
2026-07-17 03:00:00,29.7,64.0,4.0,8.1,2,Delhi,2026-07-17,3
2026-07-17 04:00:00,29.2,64.0,5.0,8.7,1,Delhi,2026-07-17,4
2026-07-17 05:00:00,29.1,64.0,6.0,9.3,1,Delhi,2026-07-17,5
2026-07-17 06:00:00,29.7,61.0,6.0,10.2,1,Delhi,2026-07-17,6
2026-07-17 07:00:00,30.7,58.0,5.0,11.1,2,Delhi,2026-07-17,7
2026-07-17 08:00:00,31.8,55.0,4.0,11.5,3,Delhi,2026-07-17,8
2026-07-17 09:00:00,33.0,52.0,1.0,11.4,3,Delhi,2026-07-17,9
2026-07-17 10:00:00,34.4,49.0,0.0,10.8,3,Delhi,2026-07-17,10
2026-07-17 11:00:00,35.4,46.0,0.0,10.4,3,Delhi,2026-07-17,11
2026-07-17 12:00:00,36.2,44.0,11.0,9.7,51,Delhi,2026-07-17,12
2026-07-17 13:00:00,36.6,42.0,27.0,8.7,51,Delhi,2026-07-17,13
2026-07-17 14:00:00,36.8,41.0,39.0,7.9,51,Delhi,2026-07-17,14
2026-07-17 15:00:00,36.7,42.0,44.0,7.9,51,Delhi,2026-07-17,15
2026-07-17 16:00:00,36.2,43.0,44.0,8.7,51,Delhi,2026-07-17,16
2026-07-17 17:00:00,35.6,45.0,41.0,8.7,51,Delhi,2026-07-17,17
2026-07-17 18:00:00,34.8,49.0,33.0,7.7,3,Delhi,2026-07-17,18
2026-07-17 19:00:00,33.9,55.0,21.0,6.2,3,Delhi,2026-07-17,19
2026-07-17 20:00:00,33.0,59.0,12.0,5.4,3,Delhi,2026-07-17,20
2026-07-17 21:00:00,32.5,62.0,7.0,5.7,3,Delhi,2026-07-17,21
2026-07-17 22:00:00,32.0,63.0,3.0,6.5,3,Delhi,2026-07-17,22
2026-07-17 23:00:00,31.6,64.0,2.0,6.7,3,Delhi,2026-07-17,23
2026-07-18 00:00:00,31.3,64.0,3.0,5.9,3,Delhi,2026-07-18,0
2026-07-18 01:00:00,30.9,63.0,7.0,6.2,3,Delhi,2026-07-18,1
2026-07-18 02:00:00,30.5,63.0,10.0,7.0,3,Delhi,2026-07-18,2
2026-07-18 03:00:00,29.8,66.0,13.0,5.8,51,Delhi,2026-07-18,3
2026-07-18 04:00:00,28.9,71.0,15.0,3.8,51,Delhi,2026-07-18,4
2026-07-18 05:00:00,28.4,75.0,18.0,2.5,51,Delhi,2026-07-18,5
2026-07-18 06:00:00,28.1,78.0,20.0,2.2,53,Delhi,2026-07-18,6
2026-07-18 07:00:00,28.0,80.0,22.0,1.9,53,Delhi,2026-07-18,7
2026-07-18 08:00:00,28.5,79.0,24.0,2.1,53,Delhi,2026-07-18,8
2026-07-18 09:00:00,30.0,71.0,26.0,3.0,3,Delhi,2026-07-18,9
2026-07-18 10:00:00,32.1,61.0,27.0,4.4,3,Delhi,2026-07-18,10
2026-07-18 11:00:00,33.8,54.0,29.0,5.3,2,Delhi,2026-07-18,11
2026-07-18 12:00:00,34.8,51.0,32.0,5.7,2,Delhi,2026-07-18,12
